"","x"
"1","subject"
"2","activity"
"3","TimeBodyAccelerometer.mean...X_mean"
"4","TimeBodyAccelerometer.mean...Y_mean"
"5","TimeBodyAccelerometer.mean...Z_mean"
"6","TimeGravityAccelerometer.mean...X_mean"
"7","TimeGravityAccelerometer.mean...Y_mean"
"8","TimeGravityAccelerometer.mean...Z_mean"
"9","TimeBodyAccelerometerJerk.mean...X_mean"
"10","TimeBodyAccelerometerJerk.mean...Y_mean"
"11","TimeBodyAccelerometerJerk.mean...Z_mean"
"12","TimeBodyGyroscope.mean...X_mean"
"13","TimeBodyGyroscope.mean...Y_mean"
"14","TimeBodyGyroscope.mean...Z_mean"
"15","TimeBodyGyroscopeJerk.mean...X_mean"
"16","TimeBodyGyroscopeJerk.mean...Y_mean"
"17","TimeBodyGyroscopeJerk.mean...Z_mean"
"18","TimeBodyAccelerometerMagnitude.mean.._mean"
"19","TimeGravityAccelerometerMagnitude.mean.._mean"
"20","TimeBodyAccelerometerJerkMagnitude.mean.._mean"
"21","TimeBodyGyroscopeMagnitude.mean.._mean"
"22","TimeBodyGyroscopeJerkMagnitude.mean.._mean"
"23","FrequencyBodyAccelerometer.mean...X_mean"
"24","FrequencyBodyAccelerometer.mean...Y_mean"
"25","FrequencyBodyAccelerometer.mean...Z_mean"
"26","FrequencyBodyAccelerometer.meanFreq...X_mean"
"27","FrequencyBodyAccelerometer.meanFreq...Y_mean"
"28","FrequencyBodyAccelerometer.meanFreq...Z_mean"
"29","FrequencyBodyAccelerometerJerk.mean...X_mean"
"30","FrequencyBodyAccelerometerJerk.mean...Y_mean"
"31","FrequencyBodyAccelerometerJerk.mean...Z_mean"
"32","FrequencyBodyAccelerometerJerk.meanFreq...X_mean"
"33","FrequencyBodyAccelerometerJerk.meanFreq...Y_mean"
"34","FrequencyBodyAccelerometerJerk.meanFreq...Z_mean"
"35","FrequencyBodyGyroscope.mean...X_mean"
"36","FrequencyBodyGyroscope.mean...Y_mean"
"37","FrequencyBodyGyroscope.mean...Z_mean"
"38","FrequencyBodyGyroscope.meanFreq...X_mean"
"39","FrequencyBodyGyroscope.meanFreq...Y_mean"
"40","FrequencyBodyGyroscope.meanFreq...Z_mean"
"41","FrequencyBodyAccelerometerMagnitude.mean.._mean"
"42","FrequencyBodyAccelerometerMagnitude.meanFreq.._mean"
"43","FrequencyBodyAccelerometerJerkMagnitude.mean.._mean"
"44","FrequencyBodyAccelerometerJerkMagnitude.meanFreq.._mean"
"45","FrequencyBodyGyroscopeMagnitude.mean.._mean"
"46","FrequencyBodyGyroscopeMagnitude.meanFreq.._mean"
"47","FrequencyBodyGyroscopeJerkMagnitude.mean.._mean"
"48","FrequencyBodyGyroscopeJerkMagnitude.meanFreq.._mean"
"49","Angle.TimeBodyAccelerometerMean.Gravity._mean"
"50","Angle.TimeBodyAccelerometerJerkMean..GravityMean._mean"
"51","Angle.TimeBodyGyroscopeMean.GravityMean._mean"
"52","Angle.TimeBodyGyroscopeJerkMean.GravityMean._mean"
"53","Angle.X.GravityMean._mean"
"54","Angle.Y.GravityMean._mean"
"55","Angle.Z.GravityMean._mean"
"56","TimeBodyAccelerometer.std...X_mean"
"57","TimeBodyAccelerometer.std...Y_mean"
"58","TimeBodyAccelerometer.std...Z_mean"
"59","TimeGravityAccelerometer.std...X_mean"
"60","TimeGravityAccelerometer.std...Y_mean"
"61","TimeGravityAccelerometer.std...Z_mean"
"62","TimeBodyAccelerometerJerk.std...X_mean"
"63","TimeBodyAccelerometerJerk.std...Y_mean"
"64","TimeBodyAccelerometerJerk.std...Z_mean"
"65","TimeBodyGyroscope.std...X_mean"
"66","TimeBodyGyroscope.std...Y_mean"
"67","TimeBodyGyroscope.std...Z_mean"
"68","TimeBodyGyroscopeJerk.std...X_mean"
"69","TimeBodyGyroscopeJerk.std...Y_mean"
"70","TimeBodyGyroscopeJerk.std...Z_mean"
"71","TimeBodyAccelerometerMagnitude.std.._mean"
"72","TimeGravityAccelerometerMagnitude.std.._mean"
"73","TimeBodyAccelerometerJerkMagnitude.std.._mean"
"74","TimeBodyGyroscopeMagnitude.std.._mean"
"75","TimeBodyGyroscopeJerkMagnitude.std.._mean"
"76","FrequencyBodyAccelerometer.std...X_mean"
"77","FrequencyBodyAccelerometer.std...Y_mean"
"78","FrequencyBodyAccelerometer.std...Z_mean"
"79","FrequencyBodyAccelerometerJerk.std...X_mean"
"80","FrequencyBodyAccelerometerJerk.std...Y_mean"
"81","FrequencyBodyAccelerometerJerk.std...Z_mean"
"82","FrequencyBodyGyroscope.std...X_mean"
"83","FrequencyBodyGyroscope.std...Y_mean"
"84","FrequencyBodyGyroscope.std...Z_mean"
"85","FrequencyBodyAccelerometerMagnitude.std.._mean"
"86","FrequencyBodyAccelerometerJerkMagnitude.std.._mean"
"87","FrequencyBodyGyroscopeMagnitude.std.._mean"
"88","FrequencyBodyGyroscopeJerkMagnitude.std.._mean"
